MLS#,Address,City,State,ZIP,Price,Beds,Baths,SqFt,YearBuilt,DaysOnMarket,PropertyType,Status,ListAgent,Brokerage
7001,4512 Edna Drive,Fort Worth,TX,76107,$289000,3,2,1850,1985,45,Single Family,Active,Sarah Martinez,RE/MAX
7002,5234 Rosedale Street,Fort Worth,TX,76103,$325000,4,2.5,2100,1992,32,Single Family,Active,James Wilson,Keller Williams
7003,2847 Hulen Street,Fort Worth,TX,76109,$450000,4,3,2750,2005,18,Single Family,Active,Michelle Lee,Coldwell Banker
7004,7823 Forest Hill Drive,Fort Worth,TX,76116,$385000,3,2.5,2200,1988,56,Single Family,Active,Robert Garcia,Compass
7005,3456 Bellaire Drive,Fort Worth,TX,76109,$520000,5,3.5,3100,2008,12,Single Family,Active,Patricia Brown,Sotheby's
7006,6789 Overton Ridge Drive,Fort Worth,TX,76132,$275000,3,2,1650,1980,67,Single Family,Active,David Johnson,RE/MAX
7007,1234 Mountain View Lane,Fort Worth,TX,76110,$412000,4,3,2450,2000,28,Single Family,Active,Lisa Anderson,Keller Williams
7008,5678 Meadowbrook Drive,Fort Worth,TX,76103,$298000,3,2,1750,1987,51,Single Family,Active,Michael Chen,ERA
7009,2345 Park Hill Avenue,Fort Worth,TX,76109,$565000,5,4,3250,2010,15,Single Family,Active,Jennifer White,Redfin
7010,8901 Westridge Drive,Fort Worth,TX,76116,$445000,4,3,2600,2003,39,Single Family,Active,Christopher Moore,Century 21
7011,4567 Clearview Drive,Fort Worth,TX,76119,$320000,3,2.5,1900,1990,44,Single Family,Active,Amanda Torres,HomeSmart
7012,9012 Shady Lane,Fort Worth,TX,76105,$275000,3,2,1600,1982,72,Single Family,Active,Kevin Martinez,Engel & Völkers
7013,3789 Bristol Drive,Fort Worth,TX,76109,$485000,4,3,2800,2006,22,Single Family,Active,Susan Blake,Allie Beth Allman
7014,6234 Ridgemont Drive,Fort Worth,TX,76132,$355000,4,2.5,2150,1995,48,Single Family,Active,Thomas White,CBRE
7015,1567 Kingwood Drive,Fort Worth,TX,76110,$398000,4,3,2350,1999,31,Single Family,Active,Rachel Green,Compass
7016,5890 Sunnybrook Lane,Fort Worth,TX,76103,$310000,3,2,1800,1989,53,Single Family,Active,Mark Johnson,RE/MAX
7017,2901 Spring Valley Drive,Fort Worth,TX,76116,$435000,4,3,2500,2004,26,Single Family,Active,Emily Wilson,Keller Williams
7018,7234 Heritage Drive,Fort Worth,TX,76109,$520000,5,3.5,3000,2007,19,Single Family,Active,Daniel Lee,Coldwell Banker
7019,4123 Meadow Lane,Fort Worth,TX,76119,$295000,3,2,1700,1986,59,Single Family,Active,Jessica Brown,Compass
7020,8567 Vista Drive,Fort Worth,TX,76105,$445000,4,3,2600,2002,41,Single Family,Active,Ryan Garcia,Redfin
7021,3012 Autumn Lane,Fort Worth,TX,76132,$380000,4,2.5,2250,1997,35,Single Family,Active,Nicole Martinez,ERA
7022,6789 Summit Drive,Fort Worth,TX,76110,$475000,5,3,2900,2005,25,Single Family,Active,Brandon White,Compass
7023,1890 Parkside Drive,Fort Worth,TX,76103,$305000,3,2,1850,1988,54,Single Family,Active,Katherine Lee,RE/MAX
7024,5123 Westlake Drive,Fort Worth,TX,76109,$510000,4,3.5,2950,2008,17,Single Family,Active,Alexander Brown,Sotheby's
7025,9456 Crestwood Drive,Fort Worth,TX,76116,$420000,4,3,2450,2001,38,Single Family,Active,Victoria Garcia,Keller Williams
7026,2678 Oakwood Drive,Fort Worth,TX,76119,$325000,3,2.5,1950,1991,46,Single Family,Active,Samuel Martinez,Coldwell Banker
7027,7901 Pinewood Drive,Fort Worth,TX,76105,$385000,4,3,2300,1999,42,Single Family,Active,Grace Lee,Compass
7028,4345 Elmwood Drive,Fort Worth,TX,76109,$545000,5,4,3150,2009,14,Single Family,Active,Matthew White,Redfin
7029,8012 Maple Drive,Fort Worth,TX,76132,$365000,4,2.5,2200,1996,49,Single Family,Active,Lauren Wilson,ERA
7030,1234 Cedar Lane,Fort Worth,TX,76110,$410000,4,3,2400,2000,29,Single Family,Active,Tyler Johnson,Compass
7101,2500 Forest Park Boulevard Unit 401,Fort Worth,TX,76110,$185000,2,2,1100,2000,15,Condo,Active,Jennifer Wong,Keller Williams
7102,3100 Overton Ridge Drive Unit 305,Fort Worth,TX,76132,$165000,2,1.5,950,1998,38,Condo,Active,Marcus Brown,RE/MAX
7103,1800 Park Hill Avenue Unit 201,Fort Worth,TX,76109,$225000,2,2,1250,2003,22,Condo,Active,Patricia Lee,Coldwell Banker
7104,4200 Meadowbrook Drive Unit 108,Fort Worth,TX,76103,$155000,1,1.5,800,1995,58,Condo,Active,Robert White,Compass
7105,5600 Shady Lane Unit 402,Fort Worth,TX,76105,$195000,2,2,1050,2001,31,Condo,Active,Susan Martinez,ERA
7106,3450 Bristol Drive Unit 206,Fort Worth,TX,76109,$240000,2,2,1300,2004,18,Condo,Active,James Garcia,Redfin
7107,6100 Heritage Drive Unit 304,Fort Worth,TX,76116,$210000,2,2,1150,2002,42,Condo,Active,Lisa Johnson,HomeSmart
7108,2900 Spring Valley Drive Unit 105,Fort Worth,TX,76119,$175000,2,1.5,900,1997,51,Condo,Active,Michael Lee,Engel & Völkers
7109,4700 Westridge Drive Unit 309,Fort Worth,TX,76132,$185000,2,2,1000,1999,35,Condo,Active,Amanda White,Allie Beth Allman
7110,7200 Vista Drive Unit 201,Fort Worth,TX,76105,$205000,2,2,1200,2002,26,Condo,Active,David Brown,Compass
7201,500 Forest Park Boulevard,Fort Worth,TX,76110,$485000,12,8,6500,1998,68,Apartment,Active,Patricia Lee,Keller Williams
7202,1200 Meadowbrook Drive,Fort Worth,TX,76103,$625000,18,10,8200,2002,45,Apartment,Active,Robert Johnson,Coldwell Banker
7203,2800 Overton Ridge Drive,Fort Worth,TX,76132,$520000,15,9,7100,2000,52,Apartment,Active,Jennifer Wong,RE/MAX
7204,3600 Park Hill Avenue,Fort Worth,TX,76109,$745000,22,12,9500,2005,38,Apartment,Active,James Garcia,Compass
7205,5100 Heritage Drive,Fort Worth,TX,76116,$415000,10,6,5800,1996,71,Apartment,Active,Susan Martinez,ERA
7206,6400 Shady Lane,Fort Worth,TX,76105,$550000,14,8,7300,2001,49,Apartment,Active,Michael Brown,Redfin
7207,7700 Spring Valley Drive,Fort Worth,TX,76119,$680000,20,11,8900,2003,42,Apartment,Active,Lisa White,HomeSmart
7208,4500 Vista Drive,Fort Worth,TX,76132,$465000,12,7,6200,1999,61,Apartment,Active,David Lee,Engel & Völkers
7209,8200 Westridge Drive,Fort Worth,TX,76110,$765000,24,13,10200,2006,35,Apartment,Active,Amanda Johnson,Allie Beth Allman
7210,2100 Bristol Drive,Fort Worth,TX,76109,$595000,16,9,7600,2002,47,Apartment,Active,Mark Garcia,Compass
7301,10 Acres Forest Park Boulevard,Fort Worth,TX,76110,$285000,0,0,435600,0,82,Land,Active,Jennifer Wong,Keller Williams
7302,5 Acres Meadowbrook Drive,Fort Worth,TX,76103,$185000,0,0,217800,0,95,Land,Active,Robert Johnson,RE/MAX
7303,8.5 Acres Heritage Drive,Fort Worth,TX,76116,$425000,0,0,370080,0,71,Land,Active,Patricia Lee,Coldwell Banker
7304,3.2 Acres Park Hill Avenue,Fort Worth,TX,76109,$325000,0,0,139393,0,88,Land,Active,James Garcia,Compass
7305,6 Acres Shady Lane,Fort Worth,TX,76105,$295000,0,0,261360,0,77,Land,Active,Susan Martinez,ERA
7306,2.8 Acres Spring Valley Drive,Fort Worth,TX,76119,$165000,0,0,121968,0,103,Land,Active,Michael Brown,Redfin
7307,7.5 Acres Vista Drive,Fort Worth,TX,76132,$515000,0,0,326700,0,69,Land,Active,Lisa White,HomeSmart
